ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Approved,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Gender_Male,Married_Yes,Property_Area_Semiurban,Property_Area_Urban,Self_Employed_Yes
5849,0.0,128,360,1,1,False,False,False,False,True,False,False,True,False
4583,1508.0,128,360,1,0,True,False,False,False,True,True,False,False,False
3000,0.0,66,360,1,1,False,False,False,False,True,True,False,True,True
2583,2358.0,120,360,1,1,False,False,False,True,True,True,False,True,False
6000,0.0,141,360,1,1,False,False,False,False,True,False,False,True,False
5417,4196.0,267,360,1,1,False,True,False,False,True,True,False,True,True
2333,1516.0,95,360,1,1,False,False,False,True,True,True,False,True,False
3036,2504.0,158,360,0,0,False,False,True,False,True,True,True,False,False
4006,1526.0,168,360,1,1,False,True,False,False,True,True,False,True,False
12841,10968.0,349,360,1,0,True,False,False,False,True,True,True,False,False
3200,700.0,70,360,1,1,False,True,False,False,True,True,False,True,False
2500,1840.0,109,360,1,1,False,True,False,False,True,True,False,True,False
3073,8106.0,200,360,1,1,False,True,False,False,True,True,False,True,False
1853,2840.0,114,360,1,0,False,False,False,False,True,False,False,False,False
1299,1086.0,17,120,1,1,False,True,False,False,True,True,False,True,False
4950,0.0,125,360,1,1,False,False,False,False,True,False,False,True,False
3596,0.0,100,240,1,1,True,False,False,True,True,False,False,True,False
3510,0.0,76,360,0,0,False,False,False,False,False,False,False,True,False
4887,0.0,133,360,1,0,False,False,False,True,True,True,False,False,False
2600,3500.0,115,360,1,1,False,False,False,False,True,True,False,True,False
7660,0.0,104,360,0,0,False,False,False,True,True,True,False,True,False
5955,5625.0,315,360,1,1,True,False,False,False,True,True,False,True,False
2600,1911.0,116,360,0,0,False,False,False,True,True,True,True,False,False
3365,1917.0,112,360,0,0,False,True,False,True,True,True,False,False,False
3717,2925.0,151,360,1,0,True,False,False,False,True,True,True,False,False
9560,0.0,191,360,1,1,False,False,False,False,True,True,True,False,True
2799,2253.0,122,360,1,1,False,False,False,False,True,True,True,False,False
4226,1040.0,110,360,1,1,False,True,False,True,True,True,False,True,False
1442,0.0,35,360,1,0,False,False,False,True,True,False,False,True,False
3750,2083.0,120,360,1,1,False,True,False,False,False,False,True,False,False
4166,3369.0,201,360,1,0,True,False,False,False,True,True,False,True,False
3167,0.0,74,360,1,0,False,False,False,False,True,False,False,True,False
4692,0.0,106,360,1,0,True,False,False,False,True,False,False,False,True
3500,1667.0,114,360,1,1,False,False,False,False,True,True,True,False,False
12500,3000.0,320,360,1,0,False,False,True,False,True,False,False,False,False
2275,2067.0,128,360,1,1,False,False,False,False,True,True,False,True,False
1828,1330.0,100,360,0,0,False,False,False,False,True,True,False,True,False
3667,1459.0,144,360,1,1,False,False,False,False,False,True,True,False,False
4166,7210.0,184,360,1,1,False,False,False,False,True,False,False,True,False
3748,1668.0,110,360,1,1,False,False,False,True,True,False,True,False,False
3600,0.0,80,360,1,0,False,False,False,False,True,False,False,True,False
1800,1213.0,47,360,1,1,False,False,False,False,True,False,False,True,False
2400,0.0,75,360,1,1,False,False,False,False,True,True,False,True,False
3941,2336.0,134,360,1,1,False,False,False,False,True,True,True,False,False
4695,0.0,96,360,1,1,False,False,False,True,True,True,False,True,True
3410,0.0,88,360,1,1,False,False,False,False,False,False,False,True,False
5649,0.0,44,360,1,1,True,False,False,False,True,True,False,True,False
5821,0.0,144,360,1,1,False,False,False,False,True,True,False,True,False
2645,3440.0,120,360,0,0,False,False,False,False,False,True,False,True,False
4000,2275.0,144,360,1,1,False,False,False,False,False,False,True,False,False
1928,1644.0,100,360,1,1,False,False,False,True,False,True,True,False,False
3086,0.0,120,360,1,1,False,False,False,False,False,False,True,False,False
4230,0.0,112,360,1,0,False,False,False,False,False,False,True,False,False
4616,0.0,134,360,1,0,False,True,False,False,True,True,False,True,False
11500,0.0,286,360,0,0,True,False,False,False,False,True,False,True,True
2708,1167.0,97,360,1,1,False,True,False,False,True,True,True,False,False
2132,1591.0,96,360,1,1,False,False,False,False,True,True,True,False,False
3366,2200.0,135,360,1,0,False,False,False,False,True,True,False,False,False
8080,2250.0,180,360,1,1,True,False,False,False,True,True,False,True,False
3357,2859.0,144,360,1,1,False,True,False,True,True,True,False,True,False
2500,3796.0,120,360,1,1,False,False,False,False,True,True,False,True,False
3029,0.0,99,360,1,1,False,False,True,False,True,True,False,True,False
2609,3449.0,165,180,0,0,False,False,False,True,True,True,False,False,True
4945,0.0,128,360,0,0,True,False,False,False,True,True,False,False,False
4166,0.0,116,360,0,0,False,False,False,False,False,False,True,False,False
5726,4595.0,258,360,1,0,False,False,False,False,True,True,True,False,False
3200,2254.0,126,180,0,0,False,False,False,True,True,False,False,True,False
10750,0.0,312,360,1,1,True,False,False,False,True,True,False,True,False
7100,0.0,125,60,1,1,False,False,True,True,True,True,False,True,True
4300,0.0,136,360,0,0,False,False,False,False,False,False,True,False,False
3208,3066.0,172,360,1,1,False,False,False,False,True,True,False,True,False
1875,1875.0,97,360,1,1,False,True,False,True,True,True,True,False,True
3500,0.0,81,300,1,1,False,False,False,False,True,False,True,False,False
4755,0.0,95,360,0,0,False,False,True,True,True,True,True,False,False
5266,1774.0,187,360,1,1,False,False,True,False,True,True,True,False,True
3750,0.0,113,480,1,0,False,False,False,False,True,False,False,True,False
3750,4750.0,176,360,1,0,False,False,False,False,True,False,False,True,False
1000,3022.0,110,360,1,0,True,False,False,False,True,True,False,True,True
3167,4000.0,180,300,0,0,False,False,True,False,True,True,True,False,False
3333,2166.0,130,360,1,1,False,False,True,True,True,True,True,False,True
3846,0.0,111,360,1,1,False,False,False,False,False,False,True,False,False
2395,0.0,128,360,1,1,True,False,False,False,True,True,True,False,True
1378,1881.0,167,360,1,0,False,True,False,False,False,True,False,True,False
6000,2250.0,265,360,1,0,False,False,False,False,True,True,True,False,False
3988,0.0,50,240,1,1,True,False,False,False,True,True,False,True,False
2366,2531.0,136,360,1,1,False,False,False,False,True,False,True,False,False
3333,2000.0,99,360,1,1,False,True,False,True,True,True,True,False,False
2500,2118.0,104,360,1,1,False,False,False,False,True,True,True,False,False
8566,0.0,210,360,1,1,False,False,False,False,True,False,False,True,False
5695,4167.0,175,360,1,1,False,False,False,False,True,True,True,False,False
2958,2900.0,131,360,1,1,False,False,False,False,True,True,True,False,False
6250,5654.0,188,180,1,1,False,True,False,False,True,True,True,False,False
3273,1820.0,81,360,1,1,False,True,False,True,True,True,False,True,False
4133,0.0,122,360,1,1,False,False,False,False,True,False,True,False,False
3620,0.0,25,120,1,1,False,False,False,True,True,False,True,False,False
6782,0.0,128,360,1,0,False,False,False,False,True,False,False,True,False
2484,2302.0,137,360,1,1,False,False,False,False,False,True,True,False,False
1977,997.0,50,360,1,1,False,False,False,False,True,True,True,False,False
4188,0.0,115,180,1,1,False,False,False,True,True,True,True,False,False
1759,3541.0,131,360,1,1,False,False,False,False,True,True,True,False,False
4288,3263.0,133,180,1,1,False,True,False,True,True,True,False,True,False
4843,3806.0,151,360,1,1,False,False,False,False,True,False,True,False,False
13650,0.0,128,360,1,1,False,False,False,False,True,True,False,True,False
4652,3583.0,128,360,1,1,False,False,False,False,True,True,True,False,False
3816,754.0,160,360,1,1,False,False,False,False,True,True,False,True,False
3052,1030.0,100,360,1,1,True,False,False,False,True,True,False,True,False
11417,1126.0,225,360,1,1,False,True,False,False,True,True,False,True,False
7333,0.0,120,360,1,0,False,False,False,True,True,False,False,False,False
3800,3600.0,216,360,0,0,False,True,False,False,True,True,False,True,False
2071,754.0,94,480,1,1,False,False,True,True,True,True,True,False,False
5316,0.0,136,360,1,1,False,False,False,False,True,False,False,True,False
2929,2333.0,139,360,1,1,False,False,False,False,False,True,True,False,False
3572,4114.0,152,360,0,0,False,False,False,True,True,True,False,False,False
7451,0.0,128,360,1,1,True,False,False,False,False,False,True,False,True
5050,0.0,118,360,1,1,False,False,False,False,True,False,True,False,False
14583,0.0,185,180,1,1,True,False,False,False,True,True,False,False,False
3167,2283.0,154,360,1,1,False,False,False,False,False,True,True,False,False
2214,1398.0,85,360,1,1,True,False,False,False,True,True,False,True,False
5568,2142.0,175,360,1,0,False,False,False,False,True,True,False,False,False
10408,0.0,259,360,1,1,False,False,False,False,False,False,False,True,False
5667,2667.0,180,360,1,1,False,False,False,False,True,True,False,False,False
4166,0.0,44,360,1,1,False,False,False,False,False,False,True,False,False
2137,8980.0,137,360,0,1,False,False,False,False,False,False,True,False,False
2957,0.0,81,360,1,1,False,True,False,False,True,True,True,False,False
4300,2014.0,194,360,1,1,False,False,False,True,True,True,False,False,False
3692,0.0,93,360,1,1,False,False,False,False,False,False,False,False,False
23803,0.0,370,360,1,1,False,False,True,False,True,True,False,False,False
3865,1640.0,128,360,1,1,False,False,False,False,True,False,False,False,False
10513,3850.0,160,180,0,0,True,False,False,False,True,True,False,True,True
6080,2569.0,182,360,1,0,False,False,False,False,True,True,False,False,False
20166,0.0,650,480,1,1,False,False,False,False,True,False,False,True,True
2014,1929.0,74,360,1,1,False,False,False,False,True,False,False,True,False
2718,0.0,70,360,1,1,False,False,False,False,True,False,True,False,False
3459,0.0,25,120,1,1,False,False,False,False,True,True,True,False,True
4895,0.0,102,360,1,1,False,False,False,False,True,False,True,False,False
4000,7750.0,290,360,1,0,False,False,True,False,True,True,True,False,False
4583,0.0,84,360,1,0,False,False,False,False,False,True,False,False,False
3316,3500.0,88,360,1,1,False,True,False,False,True,True,False,True,True
14999,0.0,242,360,0,0,False,False,False,False,True,False,True,False,False
4200,1430.0,129,360,1,0,False,True,False,True,True,True,False,False,False
5042,2083.0,185,360,1,0,False,True,False,False,True,True,False,False,False
5417,0.0,168,360,1,1,False,False,False,False,True,False,False,True,False
6950,0.0,175,180,1,1,False,False,False,False,True,False,True,False,True
2698,2034.0,122,360,1,1,False,False,False,False,True,True,True,False,False
11757,0.0,187,180,1,1,False,True,False,False,True,True,False,True,False
2330,4486.0,100,360,1,1,False,False,False,False,False,True,True,False,False
14866,0.0,70,360,1,1,False,True,False,False,False,True,False,True,False
1538,1425.0,30,360,1,1,True,False,False,False,True,True,False,True,False
10000,1666.0,225,360,1,0,False,False,False,False,False,False,False,False,False
4860,830.0,125,360,1,1,False,False,False,False,True,True,True,False,False
6277,0.0,118,360,0,0,False,False,False,False,True,False,False,False,False
2577,3750.0,152,360,1,1,False,False,False,False,True,True,False,False,True
9166,0.0,244,360,1,0,False,False,False,False,True,False,False,True,False
2281,0.0,113,360,1,0,False,True,False,True,True,True,False,False,False
3254,0.0,50,360,1,1,False,False,False,False,True,False,False,True,False
39999,0.0,600,180,0,1,False,False,True,False,True,True,True,False,False
6000,0.0,160,360,1,1,True,False,False,False,True,True,False,False,False
9538,0.0,187,360,1,1,True,False,False,False,True,True,False,True,False
2980,2083.0,120,360,1,1,False,False,False,False,True,False,False,False,False
4583,5625.0,255,360,1,1,False,False,False,False,True,True,True,False,False
1863,1041.0,98,360,1,1,False,False,False,True,True,True,True,False,False
7933,0.0,275,360,1,0,False,False,False,False,True,True,False,True,False
3089,1280.0,121,360,0,0,True,False,False,False,True,True,True,False,False
4167,1447.0,158,360,1,1,False,True,False,False,True,True,False,False,False
9323,0.0,75,180,1,1,False,False,False,False,True,True,False,True,False
3707,3166.0,182,360,1,1,False,False,False,False,True,True,False,False,False
4583,0.0,112,360,1,0,False,False,False,False,False,True,False,False,False
2439,3333.0,129,360,1,1,False,False,False,False,True,True,False,False,False
2237,0.0,63,480,0,0,False,False,False,False,True,False,True,False,False
8000,0.0,200,360,1,1,False,True,False,False,True,True,True,False,False
1820,1769.0,95,360,1,1,False,False,False,True,True,True,False,False,False
51763,0.0,700,300,1,1,False,False,True,False,True,True,False,True,False
3522,0.0,81,180,1,0,False,False,True,True,True,True,False,False,False
5708,5625.0,187,360,1,1,False,False,False,False,True,True,True,False,False
4344,736.0,87,360,1,0,False,False,False,True,True,True,True,False,True
3497,1964.0,116,360,1,1,False,False,False,False,True,True,False,False,False
2045,1619.0,101,360,1,1,False,True,False,False,True,True,False,False,False
5516,11300.0,495,360,0,0,False,False,True,False,True,True,True,False,False
3750,0.0,116,360,1,1,True,False,False,False,True,True,True,False,False
2333,1451.0,102,480,0,0,False,False,False,True,True,False,False,True,False
6400,7250.0,180,360,0,0,True,False,False,False,True,True,False,True,False
1916,5063.0,67,360,1,0,False,False,False,False,True,False,False,False,False
4600,0.0,73,180,1,1,False,False,False,False,True,True,True,False,False
33846,0.0,260,360,1,0,True,False,False,False,True,True,True,False,False
3625,0.0,108,360,1,1,False,False,False,False,False,True,True,False,False
39147,4750.0,120,360,1,1,False,False,False,False,True,True,True,False,True
2178,0.0,66,300,0,0,True,False,False,False,True,True,False,False,True
2383,2138.0,58,360,1,1,False,False,False,False,True,True,False,False,False
674,5296.0,168,360,1,1,False,False,False,False,True,True,False,False,True
9328,0.0,188,180,1,1,False,False,False,False,True,True,False,False,False
4885,0.0,48,360,1,1,False,False,False,True,True,False,False,False,False
12000,0.0,164,360,1,0,False,False,False,False,True,False,True,False,False
6033,0.0,160,360,1,0,False,False,False,True,True,True,False,True,False
3858,0.0,76,360,1,1,False,False,False,False,True,False,True,False,False
4191,0.0,120,360,1,1,False,False,False,False,True,False,False,False,False
3125,2583.0,170,360,1,0,True,False,False,False,True,True,True,False,False
8333,3750.0,187,360,1,1,False,False,False,False,True,False,False,False,False
1907,2365.0,120,360,1,1,False,False,False,True,False,False,False,True,False
3416,2816.0,113,360,1,1,False,False,False,False,False,True,True,False,False
11000,0.0,83,360,1,0,False,False,False,False,True,False,False,True,True
2600,2500.0,90,360,1,1,True,False,False,True,True,True,True,False,False
4923,0.0,166,360,0,1,False,True,False,False,True,False,True,False,False
3992,0.0,128,180,1,0,False,False,True,True,True,True,False,True,False
3500,1083.0,135,360,1,1,True,False,False,True,True,True,False,True,False
3917,0.0,124,360,1,1,False,True,False,True,True,True,True,False,False
4408,0.0,120,360,1,1,False,False,False,True,False,False,True,False,False
3244,0.0,80,360,1,1,False,False,False,False,False,False,False,True,False
3975,2531.0,55,360,1,1,False,False,False,True,True,False,False,False,False
2479,0.0,59,360,1,1,False,False,False,False,True,False,False,True,False
3418,0.0,127,360,1,0,False,False,False,False,True,False,True,False,False
10000,0.0,214,360,1,0,False,False,False,False,False,False,True,False,False
3430,1250.0,128,360,0,0,False,False,True,False,True,True,True,False,False
7787,0.0,240,360,1,1,True,False,False,False,True,True,False,True,True
5703,0.0,130,360,1,1,False,False,True,True,True,True,False,False,True
3173,3021.0,137,360,1,1,False,False,False,False,True,True,False,True,False
3850,983.0,100,360,1,1,False,False,True,True,True,True,True,False,False
150,1800.0,135,360,1,0,False,False,False,False,True,True,False,False,False
3727,1775.0,131,360,1,1,False,False,False,False,True,True,True,False,False
5000,0.0,72,360,0,0,False,True,False,False,True,True,True,False,False
4283,2383.0,127,360,1,1,False,True,False,False,False,True,True,False,False
2221,0.0,60,360,0,0,False,False,False,False,True,True,False,True,False
4009,1717.0,116,360,1,1,False,True,False,False,True,True,True,False,False
2971,2791.0,144,360,1,1,False,False,False,False,True,False,True,False,False
7578,1010.0,175,360,1,1,False,False,False,False,True,True,True,False,False
6250,0.0,128,360,1,1,False,False,False,False,True,True,True,False,False
3250,0.0,170,360,1,0,False,False,False,False,True,True,False,False,False
4735,0.0,138,360,1,0,False,False,False,True,True,True,False,True,True
6250,1695.0,210,360,1,1,False,True,False,False,True,True,True,False,False
4758,0.0,158,480,1,1,False,False,False,False,True,True,True,False,False
6400,0.0,200,360,1,1,False,False,False,False,True,False,False,False,True
2491,2054.0,104,360,1,1,True,False,False,False,True,True,True,False,False
3716,0.0,42,180,1,1,False,False,False,False,True,True,False,False,False
3189,2598.0,120,360,1,1,False,False,False,True,True,False,False,False,False
8333,0.0,280,360,1,1,False,False,False,False,False,False,True,False,False
3155,1779.0,140,360,1,1,True,False,False,False,True,True,True,False,False
5500,1260.0,170,360,1,1,True,False,False,False,True,True,False,False,False
5746,0.0,255,360,1,0,False,False,False,False,True,True,False,True,False
3463,0.0,122,360,1,1,False,False,False,False,False,False,False,True,True
3812,0.0,112,360,1,1,True,False,False,False,False,False,False,False,False
3315,0.0,96,360,1,1,True,False,False,False,True,True,True,False,False
5819,5000.0,120,360,1,1,False,True,False,False,True,True,False,False,False
2510,1983.0,140,180,1,0,True,False,False,True,True,True,False,True,False
2965,5701.0,155,60,1,1,False,False,False,False,True,False,False,True,False
6250,1300.0,108,360,1,1,False,True,False,False,True,True,False,False,True
3406,4417.0,123,360,1,1,False,False,False,True,True,True,True,False,False
6050,4333.0,120,180,1,0,False,False,False,False,True,False,False,True,True
9703,0.0,112,360,1,1,False,True,False,False,True,True,False,True,False
6608,0.0,137,180,1,1,True,False,False,True,True,True,False,True,False
2882,1843.0,123,480,1,1,True,False,False,False,True,True,True,False,False
1809,1868.0,90,360,1,1,False,False,False,False,True,True,False,True,False
1668,3890.0,201,360,0,0,False,False,False,True,True,True,True,False,False
3427,0.0,138,360,1,0,False,True,False,False,False,False,False,True,False
2583,2167.0,104,360,1,1,False,False,False,True,True,False,False,False,True
2661,7101.0,279,180,1,1,True,False,False,True,True,True,True,False,False
16250,0.0,192,360,0,0,False,False,False,False,True,False,False,True,True
3083,0.0,255,360,1,1,False,False,True,False,False,False,False,False,False
6045,0.0,115,360,0,0,False,False,False,True,True,False,False,False,False
5250,0.0,94,360,1,0,False,False,True,False,True,True,False,True,False
14683,2100.0,304,360,1,0,False,False,False,False,True,True,False,False,False
4931,0.0,128,360,1,0,False,False,True,True,True,True,True,False,False
6083,4250.0,330,360,1,1,True,False,False,False,True,True,False,True,False
2060,2209.0,134,360,1,1,False,False,False,False,True,False,True,False,False
3481,0.0,155,36,1,0,True,False,False,False,False,False,True,False,False
7200,0.0,120,360,1,1,False,False,False,False,False,False,False,False,False
5166,0.0,128,360,1,1,False,False,False,False,True,False,True,False,True
4095,3447.0,151,360,1,1,False,False,False,False,True,False,False,False,False
4708,1387.0,150,360,1,1,False,True,False,False,True,True,True,False,False
4333,1811.0,160,360,0,1,False,False,True,False,True,True,False,True,False
3418,0.0,135,360,1,0,False,False,False,False,False,False,False,False,False
2876,1560.0,90,360,1,1,True,False,False,False,False,False,False,True,False
3237,0.0,30,360,1,1,False,False,False,False,False,False,False,True,False
11146,0.0,136,360,1,1,False,False,False,False,True,True,False,True,False
2833,1857.0,126,360,1,1,False,False,False,False,True,False,False,False,False
2620,2223.0,150,360,1,1,False,False,False,False,True,True,True,False,False
3900,0.0,90,360,1,1,False,True,False,False,True,True,True,False,False
2750,1842.0,115,360,1,1,True,False,False,False,True,True,True,False,False
3993,3274.0,207,360,1,1,False,False,False,False,True,True,True,False,False
3103,1300.0,80,360,1,1,False,False,False,False,True,True,False,True,False
14583,0.0,436,360,1,1,False,False,False,False,True,True,True,False,False
4100,0.0,124,360,1,1,False,False,False,True,False,True,False,False,False
4053,2426.0,158,360,0,0,True,False,False,True,True,False,False,True,True
3927,800.0,112,360,1,1,False,False,False,False,True,True,True,False,False
2301,985.7999878,78,180,1,1,False,True,False,False,True,True,False,True,False
1811,1666.0,54,360,1,1,False,False,False,False,False,False,False,True,False
20667,0.0,128,360,1,0,False,False,False,False,True,True,False,False,False
3158,3053.0,89,360,1,1,False,False,False,False,True,False,False,False,False
2600,1717.0,99,300,1,0,False,False,False,False,False,False,True,False,True
3704,2000.0,120,360,1,1,False,False,False,False,True,True,False,False,False
4124,0.0,115,360,1,1,False,False,False,False,False,False,True,False,False
9508,0.0,187,360,1,1,False,False,False,False,True,False,False,False,False
3075,2416.0,139,360,1,1,False,False,False,False,True,True,False,False,False
4400,0.0,127,360,0,0,False,True,False,False,True,True,True,False,False
3153,1560.0,134,360,1,1,False,True,False,False,True,True,False,True,False
5417,0.0,143,480,0,0,False,False,False,False,False,False,False,True,False
2383,3334.0,172,360,1,1,False,False,False,False,True,True,True,False,False
4416,1250.0,110,360,1,1,False,False,True,False,True,True,False,True,False
6875,0.0,200,360,1,1,True,False,False,False,True,True,True,False,False
4666,0.0,135,360,1,1,True,False,False,False,False,True,False,True,False
5000,2541.0,151,480,1,0,False,False,False,False,False,False,False,False,False
2014,2925.0,113,360,1,0,True,False,False,False,True,True,False,True,False
1800,2934.0,93,360,0,0,False,False,False,True,True,True,False,True,False
2875,1750.0,105,360,1,1,False,False,False,True,True,True,True,False,False
5000,0.0,132,360,1,1,False,False,False,False,False,False,False,False,False
1625,1803.0,96,360,1,1,True,False,False,False,True,True,False,True,False
4000,2500.0,140,360,1,1,False,False,False,False,True,False,False,False,False
